iter	Passed	Remaining
0	3	1153
1	7	1142
2	11	1115
3	14	1108
4	18	1120
5	22	1091
6	26	1096
7	29	1078
8	33	1073
9	36	1057
10	40	1059
11	43	1049
12	47	1046
13	50	1039
14	54	1035
15	58	1030
16	61	1028
17	65	1023
18	68	1013
19	71	1003
20	75	996
21	77	985
22	81	978
23	84	970
24	87	963
25	90	952
26	93	947
27	96	936
28	99	934
29	102	925
30	105	919
31	108	911
32	111	905
33	114	899
34	117	891
35	121	888
36	123	880
37	127	877
38	129	869
39	133	865
40	135	858
41	138	853
42	141	848
43	144	843
44	148	839
45	150	832
46	154	830
47	157	825
48	160	822
49	163	816
50	166	811
51	169	807
52	172	802
53	175	798
54	178	793
55	181	790
56	184	785
57	187	782
58	190	777
59	193	774
60	196	770
61	199	765
62	202	762
63	205	757
64	208	755
65	211	750
66	214	747
67	217	743
68	220	739
69	223	735
70	226	731
71	229	727
72	232	723
73	235	720
74	238	715
75	241	712
76	244	708
77	247	705
78	250	701
79	253	697
80	256	694
81	259	690
82	262	687
83	265	683
84	268	680
85	271	676
86	274	673
87	277	669
88	280	665
89	283	662
90	286	658
91	289	655
92	292	651
93	295	648
94	298	644
95	301	640
96	304	637
97	307	633
98	310	630
99	313	626
100	316	623
101	319	619
102	322	616
103	325	612
104	327	609
105	331	606
106	334	603
107	337	600
108	340	596
109	344	594
110	346	590
111	350	587
112	353	584
113	356	581
114	359	577
115	362	574
116	365	571
117	368	567
118	371	565
119	374	561
120	377	558
121	380	554
122	383	551
123	386	548
124	389	544
125	392	541
126	395	538
127	398	535
128	401	531
129	404	528
130	407	525
131	409	521
132	413	518
133	415	515
134	419	512
135	421	508
136	425	505
137	427	502
138	430	499
139	433	495
140	436	492
141	439	489
142	442	485
143	445	483
144	448	479
145	451	476
146	454	473
147	457	470
148	461	467
149	463	463
150	466	460
151	469	457
152	473	454
153	475	451
154	479	448
155	481	444
156	484	441
157	488	438
158	490	435
159	494	432
160	496	428
161	500	426
162	502	422
163	506	420
164	509	416
165	512	413
166	520	414
167	523	411
168	526	408
169	529	405
170	532	401
171	535	398
172	538	395
173	541	392
174	544	388
175	548	386
176	550	382
177	553	379
178	556	376
179	559	373
180	562	369
181	565	366
182	568	363
183	571	360
184	575	357
185	577	354
186	581	351
187	583	347
188	586	344
189	589	341
190	592	338
191	595	335
192	598	331
193	601	328
194	604	325
195	607	322
196	610	319
197	613	316
198	616	313
199	619	309
200	622	306
201	625	303
202	629	300
203	632	297
204	635	294
205	638	291
206	641	288
207	644	284
208	646	281
209	650	278
210	653	275
211	657	272
212	660	269
213	663	266
214	666	263
215	669	260
216	672	257
217	675	254
218	678	251
219	681	247
220	684	244
221	687	241
222	690	238
223	693	235
224	696	232
225	699	229
226	702	226
227	705	222
228	708	219
229	711	216
230	715	213
231	718	210
232	721	207
233	723	204
234	726	200
235	729	197
236	733	194
237	736	191
238	739	188
239	741	185
240	744	182
241	746	179
242	749	175
243	752	172
244	754	169
245	757	166
246	760	163
247	763	159
248	765	156
249	768	153
250	771	150
251	774	147
252	777	144
253	780	141
254	782	138
255	785	135
256	788	131
257	791	128
258	794	125
259	797	122
260	800	119
261	803	116
262	806	113
263	809	110
264	812	107
265	815	104
266	818	101
267	821	98
268	824	95
269	827	91
270	830	88
271	833	85
272	835	82
273	839	79
274	842	76
275	845	73
276	848	70
277	851	67
278	853	64
279	856	61
280	859	58
281	862	55
282	865	51
283	868	48
284	871	45
285	874	42
286	877	39
287	880	36
288	883	33
289	886	30
290	889	27
291	892	24
292	895	21
293	898	18
294	901	15
295	904	12
296	907	9
297	910	6
298	913	3
299	916	0
