account_id,anomaly_score,anomaly_rank,step_down_flag,passive_receiver_flag
1,4.78,7556,0,0
2,33.76,1951,1,1
3,16.83,5139,1,0
4,46.21,937,1,0
5,22.8,3443,0,0
6,5.92,7267,0,0
7,9.96,6348,0,0
8,14.1,5544,0,0
9,9.5,6469,0,0
10,27.92,2688,1,0
11,41.4,1219,1,0
12,21.55,3722,1,0
13,31.34,2295,0,0
14,18.14,4718,1,0
15,17.74,4878,0,1
16,29.29,2519,0,1
17,4.45,7652,0,0
18,37.32,1555,0,0
19,6.47,7147,0,0
20,15.31,5381,0,0
21,19.24,4299,1,0
22,23.49,3322,0,0
23,15.16,5405,0,0
24,4.27,7708,0,0
25,10.88,6126,0,0
26,2.9,8077,0,0
27,20.47,3952,1,0
28,16.2,5267,0,0
29,16.58,5204,0,0
30,10.31,6263,0,0
31,11.41,6012,0,0
32,17.0,5095,0,0
33,25.45,2987,0,0
34,17.83,4837,0,1
35,20.01,4073,1,0
36,31.7,2234,0,1
37,11.85,5940,0,0
38,7.61,6885,0,0
39,2.33,8237,0,0
40,2.15,8311,0,0
41,7.03,7022,0,0
42,10.19,6292,0,0
43,37.51,1535,1,0
44,24.58,3120,1,0
45,29.08,2550,1,0
46,33.64,1970,1,0
47,7.79,6830,0,0
48,32.38,2136,1,0
49,9.62,6432,0,0
50,28.78,2588,1,0
51,0.39,9019,0,0
52,43.62,1090,0,0
53,18.43,4590,0,1
54,17.84,4831,0,0
55,36.11,1665,1,1
56,34.65,1834,0,0
57,43.08,1123,1,0
58,81.85,26,1,0
59,35.84,1693,0,0
60,26.05,2923,1,0
61,19.81,4114,0,1
62,2.07,8333,0,0
63,21.39,3762,1,0
64,53.69,490,0,0
65,46.27,932,0,0
66,2.84,8099,0,0
67,4.84,7537,0,0
68,35.18,1771,1,1
69,0.91,8728,0,0
70,4.33,7690,0,0
71,35.49,1731,1,1
72,14.98,5429,0,0
73,0.54,8949,0,0
74,18.84,4446,0,1
75,5.34,7407,0,0
76,0.53,8956,0,0
77,5.18,7447,0,0
78,33.05,2061,1,0
79,36.1,1666,1,0
80,11.0,6101,0,0
81,19.97,4077,0,0
82,6.0,7246,0,0
83,0.98,8704,0,0
84,20.32,4000,0,1
85,10.64,6191,0,0
86,18.51,4564,1,0
87,3.78,7851,0,0
88,3.16,8003,0,0
89,14.71,5458,0,0
90,22.69,3468,0,1
91,4.55,7626,0,0
92,8.93,6581,0,0
93,46.25,933,1,0
94,15.22,5398,0,0
95,21.54,3724,0,1
96,1.95,8375,0,0
97,9.67,6419,0,0
98,24.46,3142,0,0
99,2.81,8108,0,0
100,20.61,3919,0,0
101,16.07,5288,0,0
102,3.86,7828,0,0
103,25.37,3001,0,1
104,23.44,3333,1,0
105,0.53,8958,0,0
106,31.0,2336,0,0
107,3.54,7910,0,0
108,17.04,5077,1,0
109,24.06,3212,0,1
110,22.6,3484,0,0
111,23.83,3253,0,1
112,17.74,4872,0,0
113,0.85,8767,0,0
114,23.51,3319,0,0
115,19.88,4097,0,0
116,24.59,3117,0,1
117,6.43,7156,0,0
118,9.46,6478,0,0
119,17.53,4948,1,0
120,13.39,5656,0,0
121,21.32,3774,0,1
122,16.01,5295,0,0
123,3.45,7936,0,0
124,6.93,7038,0,0
125,23.73,3273,1,0
126,1.51,8561,0,0
127,26.37,2879,0,1
128,1.86,8411,0,0
129,26.71,2832,1,0
130,58.62,332,1,0
131,32.62,2117,0,0
132,3.02,8048,0,0
133,37.41,1544,0,0
134,4.89,7521,0,0
135,4.25,7718,0,0
136,36.27,1650,1,0
137,33.95,1909,0,0
138,13.22,5678,0,0
139,3.15,8005,0,0
140,19.1,4359,0,1
141,39.82,1317,1,0
142,9.8,6384,0,0
143,23.11,3398,0,0
144,1.89,8398,0,0
145,19.72,4134,1,0
146,3.09,8027,0,0
147,13.37,5658,0,0
148,16.46,5227,0,0
149,7.87,6812,0,0
150,16.57,5205,0,0
151,22.07,3600,0,0
152,24.38,3154,0,1
153,45.86,957,0,0
154,15.3,5386,0,0
155,24.53,3126,0,1
156,11.15,6069,0,0
157,10.36,6248,0,0
158,20.06,4065,1,0
159,7.12,6999,0,0
160,37.1,1572,1,1
161,26.98,2791,0,1
162,21.96,3622,0,0
163,19.81,4112,0,0
164,38.62,1420,1,0
165,19.05,4374,0,0
166,10.35,6251,0,0
167,24.51,3131,0,0
168,6.66,7104,0,0
169,0.43,9006,0,0
170,29.64,2490,1,0
171,64.31,187,0,0
172,3.07,8030,0,0
173,0.72,8856,0,0
174,22.23,3571,0,1
175,17.18,5041,0,0
176,17.53,4948,1,0
177,19.34,4262,1,0
178,3.67,7883,0,0
179,5.6,7342,0,0
180,6.67,7099,0,0
181,38.76,1407,1,0
182,2.06,8338,0,0
183,35.17,1774,0,0
184,7.47,6919,0,0
185,6.35,7180,0,0
186,3.77,7854,0,0
187,19.89,4096,0,0
188,16.32,5255,0,0
189,6.59,7119,0,0
190,59.72,305,1,0
191,6.7,7089,0,0
192,3.4,7949,0,0
193,13.28,5669,0,0
194,41.8,1191,0,1
195,2.78,8112,0,0
196,12.22,5879,0,0
197,1.33,8622,0,0
198,3.18,7997,0,0
199,7.24,6967,0,0
200,0.56,8938,0,0
201,20.78,3874,1,0
202,8.01,6774,0,0
203,31.73,2230,1,0
204,4.55,7622,0,0
205,6.46,7148,0,0
206,13.87,5584,0,0
207,2.51,8190,0,0
208,48.88,735,0,0
209,57.92,348,0,0
210,46.2,938,1,0
211,27.15,2773,1,0
212,30.92,2351,1,0
213,0.89,8744,0,0
214,35.03,1795,0,1
215,55.66,410,0,0
216,3.58,7905,0,0
217,24.23,3178,0,1
218,0.63,8902,0,0
219,6.4,7168,0,0
220,0.37,9032,0,0
221,23.75,3269,1,0
222,17.74,4880,1,0
223,24.51,3130,0,0
224,15.38,5372,0,0
225,35.49,1730,1,0
226,17.66,4901,0,0
227,45.25,996,1,1
228,41.6,1203,0,0
229,54.54,447,1,0
230,6.35,7182,0,0
231,0.9,8740,0,0
232,4.34,7685,0,0
233,18.18,4696,0,0
234,18.2,4685,0,1
